Survived,Pclass,Sex,Age,Fare,Embarked,Euro_Fare,Binary_Cabin,AgeGroup,Honorific_Name
0,3,female,9.0,34.375,S,3841.374372797259,0,Kid,Miss
1,3,male,6.0,12.475,S,1394.0696814733326,1,Kid,Master
0,3,male,4.0,29.125,Q,3254.6917413154965,0,Kid,Master
1,3,male,9.806666666666667,15.2458,C,1703.7040120085078,0,Kid,Master
0,3,male,4.0,27.9,S,3117.7991273030843,0,Kid,Master
1,3,female,1.0,11.1333,S,1244.1359506811268,0,Kid,Miss
0,3,female,2.0,31.275,S,3494.9522475413614,0,Kid,Miss
1,2,female,5.0,27.75,S,3101.0367664036057,0,Kid,Miss
1,2,female,4.0,23.0,S,2570.2286712534387,0,Kid,Miss
1,1,male,0.92,151.55,S,16935.5719621069,1,Kid,Master
1,2,female,6.0,33.0,S,3687.7193978853693,0,Kid,Miss
0,3,female,9.0,27.9,S,3117.7991273030843,0,Kid,Miss
0,3,male,7.0,39.6875,S,4435.041321320472,0,Kid,Master
0,3,male,4.333333333333333,25.4667,S,2845.8801087917373,0,Kid,Master
0,3,female,6.0,31.275,S,3494.9522475413614,0,Kid,Miss
0,3,male,4.0,31.275,S,3494.9522475413614,0,Kid,Master
0,3,female,9.0,31.275,S,3494.9522475413614,0,Kid,Miss
0,3,female,3.0,21.075,S,2355.1117063767924,0,Kid,Miss
1,2,male,0.83,18.75,S,2095.2951124348688,0,Kid,Master
1,3,male,0.42,8.5167,C,951.7333271506159,0,Kid,Master
1,2,male,3.0,18.75,S,2095.2951124348688,0,Kid,Master
0,3,female,2.0,10.4625,S,1169.174672738657,1,Kid,Miss
0,3,female,4.333333333333333,25.4667,S,2845.8801087917373,0,Kid,Miss
1,2,female,2.0,26.0,S,2905.475889243018,0,Kid,Miss
1,2,female,8.0,26.25,S,2933.413157408816,0,Kid,Miss
1,2,female,7.0,26.25,S,2933.413157408816,0,Kid,Miss
1,3,female,5.0,31.3875,S,3507.52401821597,0,Kid,Miss
0,3,female,9.0,15.2458,C,1703.7040120085078,0,Kid,Miss
1,2,male,2.0,26.0,S,2905.475889243018,1,Kid,Master
0,3,female,4.333333333333333,25.4667,S,2845.8801087917373,0,Kid,Miss
1,3,female,4.0,13.4167,C,1499.3037832002617,0,Kid,Miss
0,3,male,2.0,39.6875,S,4435.041321320472,0,Kid,Master
1,3,male,9.0,20.525,S,2293.649716412036,0,Kid,Master
1,2,male,1.0,37.0042,C,4135.185034643327,0,Kid,Master
1,2,male,0.83,29.0,S,3240.7231072325967,0,Kid,Master
1,2,male,0.67,14.5,S,1620.3615536162984,0,Kid,Master
0,3,male,1.0,39.6875,S,4435.041321320472,0,Kid,Master
1,2,female,3.0,41.5792,C,4646.437042077435,0,Kid,Miss
1,2,male,8.0,36.75,S,4106.778420372343,0,Kid,Master
1,3,male,3.0,31.3875,S,3507.52401821597,0,Kid,Master
0,3,female,8.0,21.075,S,2355.1117063767924,0,Kid,Miss
1,3,female,4.0,22.025,S,2461.273325406826,0,Kid,Miss
1,3,male,9.0,15.9,S,1776.8102553447688,0,Kid,Master
1,3,female,1.0,15.7417,C,1759.1203771421851,0,Kid,Miss
0,3,male,2.0,29.125,Q,3254.6917413154965,0,Kid,Master
1,3,female,5.0,12.475,S,1394.0696814733326,0,Kid,Miss
0,3,female,4.333333333333333,25.4667,S,2845.8801087917373,0,Kid,Miss
1,3,male,3.0,15.9,S,1776.8102553447688,0,Kid,Master
1,3,female,4.0,16.7,S,1866.209513475323,1,Kid,Miss
0,3,male,7.0,29.125,Q,3254.6917413154965,0,Kid,Master
0,3,male,2.0,21.075,S,2355.1117063767924,0,Kid,Master
0,3,male,9.0,46.9,S,5241.031507903752,0,Kid,Master
1,3,female,2.0,12.2875,S,1373.116730348984,0,Kid,Miss
1,3,female,0.75,19.2583,C,2152.0971660695695,0,Kid,Miss
1,2,male,3.0,26.0,S,2905.475889243018,1,Kid,Master
1,2,male,1.0,39.0,S,4358.213833864527,1,Kid,Master
0,3,female,2.0,27.9,S,3117.7991273030843,0,Kid,Miss
1,3,female,0.75,19.2583,C,2152.0971660695695,0,Kid,Miss
1,3,female,5.0,19.2583,C,2152.0971660695695,0,Kid,Miss
1,3,male,1.0,20.575,S,2299.237170045196,0,Kid,Master
1,3,female,7.8066666666666675,22.3583,C,2498.519291325468,1,Kid,Miss
0,3,male,8.0,29.125,Q,3254.6917413154965,0,Kid,Master
0,3,male,1.0,46.9,S,5241.031507903752,0,Kid,Master
0,1,female,2.0,151.55,S,16935.5719621069,1,Kid,Miss
1,3,male,9.806666666666667,15.2458,C,1703.7040120085078,0,Kid,Master
1,3,male,4.0,11.1333,S,1244.1359506811268,0,Kid,Master
1,1,male,4.0,81.8583,S,9147.58911478545,1,Kid,Master
